"Status","Neutral","Warehouse","Latitude","Code","Longitude","SubLevel","LocationType","Area","Volume","Level","LocationStatus","LWH","Location"
"active",1,2,30,"BD-ARYA-WS1-1",70,"\u0001",2,"BD",1000000,1,0,"100x100x100","01 A 01"
"active",1,2,30,"BD-ARYA-WS1-2",70,"\u0001",2,"BD",1000000,1,0,"100x100x101","01 A 03"
"active",1,2,30,"BD-ARYA-WS1-3",70,"\u0001",2,"BD",1000000,1,0,"100x100x102","01 A 04"
"active",1,2,30,"BD-ARYA-WS1-4",70,"\u0001",2,"BD",1000000,1,0,"100x100x103","01 A 05"
"active",1,2,30,"BD-ARYA-WS1-5",70,"\u0001",2,"BD",1000000,1,0,"100x100x104","01 A 06"
"active",1,2,30,"BD-ARYA-WS1-6",70,"\u0001",2,"BD",1000000,1,0,"100x100x105","01 A 07"
"active",1,2,30,"BD-ARYA-WS1-7",70,"\u0001",2,"BD",1000000,1,0,"100x100x106","01 A 08"
"active",1,2,30,"BD-ARYA-WS1-8",70,"\u0001",2,"BD",1000000,1,0,"100x100x107","01 A 09"
"active",1,2,30,"BD-ARYA-WS1-9",70,"\u0001",2,"BD",1000000,1,0,"100x100x108","01 A 10"
"active",1,2,30,"BD-ARYA-WS1-10",70,"\u0001",2,"BD",1000000,1,0,"100x100x109","01 A 11"
"active",1,2,30,"BD-ARYA-WS1-11",70,"\u0001",2,"BD",1000000,1,0,"100x100x110","01 A 12"
"active",1,2,30,"BD-ARYA-WS1-12",70,"\u0001",2,"BD",1000000,1,0,"100x100x111","01 A 13"
"active",1,2,30,"BD-ARYA-WS1-13",70,"\u0001",2,"BD",1000000,1,0,"100x100x112","01 A 14"
"active",1,2,30,"BD-ARYA-WS1-14",70,"\u0001",2,"BD",1000000,1,0,"100x100x113","01 A 15"
"active",1,2,30,"BD-ARYA-WS1-15",70,"\u0001",2,"BD",1000000,1,0,"100x100x114","01 A 16"
"active",1,2,30,"BD-ARYA-WS1-16",70,"\u0001",2,"BD",1000000,1,0,"100x100x115","01 A 17"
"active",1,2,30,"BD-ARYA-WS1-17",70,"\u0001",2,"BD",1000000,1,0,"100x100x116","01 A 18"
"active",1,2,30,"BD-ARYA-WS1-18",70,"\u0001",2,"BD",1000000,1,0,"100x100x117","01 A 19"
"active",1,2,30,"BD-ARYA-WS1-19",70,"\u0001",2,"BD",1000000,1,0,"100x100x118","01 A 20"
"active",1,2,30,"BD-ARYA-WS1-20",70,"\u0001",2,"BD",1000000,1,0,"100x100x119","01 A 21"
"active",1,2,30,"BD-ARYA-WS1-21",70,"\u0001",2,"BD",1000000,1,0,"100x100x120","01 A 22"
"active",1,2,30,"BD-ARYA-WS1-22",70,"\u0001",2,"BD",1000000,1,0,"100x100x121","01 A 23"
"active",1,2,30,"BD-ARYA-WS1-23",70,"\u0001",2,"BD",1000000,1,0,"100x100x122","01 A 24"
"active",1,2,30,"BD-ARYA-WS1-24",70,"\u0001",2,"BD",1000000,1,0,"100x100x123","01 A 25"
"active",1,2,30,"BD-ARYA-WS1-25",70,"\u0001",2,"BD",1000000,1,0,"100x100x124","01 A 26"
"active",1,2,30,"BD-ARYA-WS1-26",70,"\u0001",2,"BD",1000000,1,0,"100x100x125","01 A 27"
"active",1,2,30,"BD-ARYA-WS1-27",70,"\u0001",2,"BD",1000000,1,0,"100x100x126","01 A 28"
"active",1,2,30,"BD-ARYA-WS1-28",70,"\u0001",2,"BD",1000000,1,0,"100x100x127","01 A 29"
