Name,Status,Neutral,Warehouse,Latitude,Code,Longitude,SubLevel,LocationType,Area,Volume,Level,LWH,LocationStatus,Location
node00,active,1,5,2,Q7-CEN-01,1,LC,2,Q7,100,1,100x100x100,0,LC A 111
node01,active,1,5,2,Q7-CEN-02,1,PA,2,Q7,100,1,10x10x10,0,PA A 01
node02,active,1,5,2,Q7-CEN-03,1,PA,2,Q7,100,1,10x10x10,0,PA A 02
node03,active,1,5,2,Q7-CEN-04,1,PA,2,Q7,100,1,10x10x10,0,PA A 03
node04,active,1,5,2,Q7-CEN-05,1,PA,2,Q7,100,1,10x10x10,0,PA A 04
node05,active,1,5,2,Q7-CEN-06,1,PA,2,Q7,100,1,10x10x10,0,PA A 05
node06,active,1,5,2,Q7-CEN-07,1,PA,2,Q7,100,1,10x10x10,0,PA A 06
node07,active,1,5,2,Q7-CEN-08,1,PA,2,Q7,100,1,10x10x10,1,PA A 07
node08,active,1,5,2,Q7-CEN-09,1,PA,2,Q7,100,1,10x10x10,0,PA A 08
node09,active,1,5,2,Q7-CEN-10,1,PA,2,Q7,100,1,10x10x10,0,PA A 09
node10,active,1,5,2,Q7-CEN-11,1,PA,2,Q7,100,1,10x10x10,0,PA A 10
node11,active,1,5,2,Q7-CEN-12,1,HL,2,Q7,100,1,10x10x10,2,HL A 01
node12,active,1,5,2,Q7-CEN-13,1,HL,2,Q7,100,1,10x10x10,2,HL A 02
node13,active,1,5,2,Q7-CEN-14,1,HL,2,Q7,100,1,10x10x10,2,HL A 03
node14,active,1,5,2,Q7-CEN-15,1,HL,2,Q7,100,1,10x10x10,2,HL A 04
node15,active,1,5,2,Q7-CEN-16,1,HL,2,Q7,100,1,10x10x10,2,HL A 05
node16,active,1,5,2,Q7-CEN-17,1,HL,2,Q7,100,1,10x10x10,2,HL A 06
node17,active,1,5,2,Q7-CEN-18,1,HL,2,Q7,100,1,10x10x10,2,HL A 07
node18,active,1,5,2,Q7-CEN-19,1,HL,2,Q7,100,1,10x10x10,2,HL A 08
node19,active,1,5,2,Q7-CEN-20,1,HL,2,Q7,100,1,10x10x10,2,HL A 09
node20,active,1,5,2,Q7-CEN-21,1,HL,2,Q7,100,1,10x10x10,2,HL A 10
node21,active,1,5,2,Q7-CEN-22,1,HL,2,Q7,100,1,10x10x10,2,HL A 11
node22,active,1,5,2,Q7-CEN-23,1,HL,2,Q7,100,1,10x10x10,2,HL A 12
node23,active,1,5,2,Q7-CEN-24,1,HL,2,Q7,100,1,10x10x10,2,HL A 13
node24,active,1,5,2,Q7-CEN-25,1,HL,2,Q7,100,1,10x10x10,2,HL A 14
node25,active,1,5,2,Q7-CEN-26,1,HL,2,Q7,100,1,10x10x10,2,HL A 15
node26,active,1,5,2,Q7-CEN-27,1,HL,2,Q7,100,1,10x10x10,2,HL A 16
node27,active,1,5,2,Q7-CEN-28,1,HL,2,Q7,100,1,10x10x10,2,HL A 17
node28,active,1,5,2,Q7-CEN-29,1,HL,2,Q7,100,1,10x10x10,2,HL A 18
node29,active,1,5,2,Q7-CEN-30,1,HL,2,Q7,100,1,10x10x10,2,HL A 19
node30,active,1,5,2,Q7-CEN-31,1,HL,2,Q7,100,1,10x10x10,2,HL A 20
node31,active,1,5,2,Q7-CEN-32,1,HL,2,Q7,100,1,10x10x10,2,HL A 21
