Status,Neutral,Warehouse,Guid,Code,Type,Area,Region,SubNode,name,Latitude,Longitude,Level,Node,Region
active,0,2,1,BRYA-WS1-01,path,CEN,1,[],node00,54,52,1,root,1
active,0,2,2,BRYA-WS1-02,path,CEN,1,[],node01,54,51,1,root,1
active,0,2,3,BRYA-WS1-03,path,CEN,1,[],node02,54,50,1,root,1
active,0,2,4,BRYA-WS1-04,path,CEN,1,[],node03,54,49,1,root,1
active,0,2,5,BRYA-WS1-05,path,CEN,1,[],node04,54,48,1,root,1
active,0,2,6,BRYA-WS1-06,path,CEN,1,[],node05,54,47,1,root,1
active,0,2,7,BRYA-WS1-07,path,CEN,1,[],node06,54,46,1,root,1
active,0,2,8,BRYA-WS1-08,path,CEN,1,[],node07,54,45,1,root,1
active,0,2,9,BRYA-WS1-09,path,CEN,1,[],node08,54,44,1,root,1
active,0,2,10,BRYA-WS1-10,path,CEN,1,[],node09,54,43,1,root,1
active,0,2,11,BRYA-WS1-11,path,CEN,1,[],node10,54,42,1,root,1
active,0,2,12,BRYA-WS1-12,path,CEN,1,[],node11,54,41,1,root,1
active,0,2,13,BRYA-WS1-13,path,CEN,1,[],node12,54,40,1,root,1
active,0,2,14,BRYA-WS1-14,path,CEN,1,[],node13,54,39,1,root,1
active,0,2,15,BRYA-WS1-15,path,CEN,1,[],node14,54,38,1,root,1
active,0,2,16,BRYA-WS1-16,path,CEN,1,[],node15,54,37,1,root,1
active,0,2,17,BRYA-WS1-17,path,CEN,1,[],node16,54,36,1,root,1
active,0,2,18,BRYA-WS1-18,path,CEN,1,[],node17,54,35,1,root,1
active,0,2,19,BRYA-WS1-19,path,CEN,1,[],node18,54,34,1,root,1
active,0,2,20,BRYA-WS1-20,path,CEN,1,[],node19,54,33,1,root,1
active,0,2,21,BRYA-WS1-21,path,CEN,1,[],node20,54,32,1,root,1
active,0,2,22,BRYA-WS1-22,path,CEN,1,[],node21,54,31,1,root,1
active,0,2,23,BRYA-WS1-23,path,CEN,1,[],node22,54,30,1,root,1
active,0,2,24,BRYA-WS1-24,path,CEN,1,[],node23,54,29,1,root,1
active,0,2,25,BRYA-WS1-25,path,CEN,1,[],node24,54,28,1,root,1
active,0,2,26,BRYA-WS1-26,path,CEN,1,[],node25,54,27,1,root,1
active,0,2,27,BRYA-WS1-27,path,CEN,1,[],node26,54,26,1,root,1
active,0,2,28,BRYA-WS1-28,path,CEN,1,[],node27,54,25,1,root,1
active,0,2,29,BRYA-WS1-29,path,CEN,1,[],node28,54,24,1,root,1
