A,B,Latitude,C,D,Longitude,Neutral,Code,Name,Type,SubNode,Warehouse,Area,Status,Level,Guid,Node
0,.0,0.0,0,.0,0.0,2,BRYA-CEN-01,node00,empty,null,02,BRYA-CEN-01,active,1,d2e3b93b-29b4-40e3-a7c9-6397385b59fd,root
0,.0,0.0,1,.0,1.0,2,BRYA-CEN-02,node01,empty,null,02,BRYA-CEN-01,active,1,b88c9762-b6e8-4435-ba2a-672ada1185fa,root
0,.0,0.0,2,.0,2.0,2,BRYA-CEN-03,node02,empty,null,02,BRYA-CEN-01,active,1,25e409d5-05af-4e27-8c1f-f747fe07537d,root
0,.0,0.0,3,.0,3.0,2,BRYA-CEN-04,node03,empty,null,02,BRYA-CEN-01,active,1,206fd9d0-4b79-42c3-b50b-6459e6237712,root
0,.0,0.0,4,.0,4.0,2,BRYA-CEN-05,node04,empty,null,02,BRYA-CEN-01,active,1,a52951ed-e64e-44fc-858b-ec9609ba00c8,root
0,.0,0.0,5,.0,5.0,2,BRYA-CEN-06,node05,empty,null,02,BRYA-CEN-01,active,1,57c90f77-2268-440c-8398-3b8a3474f3d5,root
0,.0,0.0,6,.0,6.0,2,BRYA-CEN-07,node06,empty,null,02,BRYA-CEN-01,active,1,db76566c-5f58-4403-84d2-6a8c42c3f50f,root
0,.0,0.0,7,.0,7.0,2,BRYA-CEN-08,node07,empty,null,02,BRYA-CEN-01,active,1,c274a4bd-246b-4f23-8de7-9fe56ad37299,root
0,.0,0.0,8,.0,8.0,2,BRYA-CEN-09,node08,empty,null,02,BRYA-CEN-01,active,1,f8813a3f-517b-4b5f-8ce5-408a21e14d7c,root
0,.0,0.0,9,.0,9.0,2,BRYA-CEN-10,node09,empty,null,02,BRYA-CEN-01,active,1,cae79a87-0cfd-495f-aa5c-7ab6253ffe15,root
0,.0,0.0,10,.0,10.0,2,BRYA-CEN-11,node10,empty,null,02,BRYA-CEN-01,active,1,2a825c8b-deed-4fe1-9499-0189db4197da,root
0,.0,0.0,11,.0,11.0,2,BRYA-CEN-12,node11,empty,null,02,BRYA-CEN-01,active,1,53fbebe3-99cf-4047-9f16-95e0a7aee770,root
0,.0,0.0,12,.0,12.0,2,BRYA-CEN-13,node12,empty,null,02,BRYA-CEN-01,active,1,84cfe2e1-d692-42c1-8c19-23862d429e68,root
0,.0,0.0,13,.0,13.0,2,BRYA-CEN-14,node13,empty,null,02,BRYA-CEN-01,active,1,a2feb0ee-5047-467d-aec3-3336505e7e1f,root
0,.0,0.0,14,.0,14.0,2,BRYA-CEN-15,node14,empty,null,02,BRYA-CEN-01,active,1,db70c7d9-39f6-4260-88e6-829eecaebd78,root
0,.0,0.0,15,.0,15.0,2,BRYA-CEN-16,node15,empty,null,02,BRYA-CEN-01,active,1,e1e5f3c6-ee90-4c30-a540-4c7f1f862880,root
