Latitude,Longitude,Neutral,Code,Name,Type,SubNode,Warehouse,Area,Status,LevelId,LevelName,Guid,RegionId,RegionName
0,0,1,DAD-CEN-01,node00,path,null,41,Area1,active,2,t?ng 1,d2e3b93b-29b4-40e3-a7c9-6397385b59fd1,1,Warehouse1
0,1,1,DAD-CEN-02,node01,path,null,41,Area1,active,2,t?ng 2,d2e3b93b-29b4-40e3-a7c9-6397385b59fd2,1,Warehouse2
0,2,1,DAD-CEN-03,node02,path,null,41,Area1,active,2,t?ng 3,d2e3b93b-29b4-40e3-a7c9-6397385b59fd3,1,Warehouse3
0,3,1,DAD-CEN-04,node03,path,null,41,Area1,active,2,t?ng 4,d2e3b93b-29b4-40e3-a7c9-6397385b59fd4,1,Warehouse4
0,4,1,DAD-CEN-05,node04,path,null,41,Area1,active,2,t?ng 5,d2e3b93b-29b4-40e3-a7c9-6397385b59fd5,1,Warehouse5
0,5,1,DAD-CEN-06,node05,path,null,41,Area1,active,2,t?ng 6,d2e3b93b-29b4-40e3-a7c9-6397385b59fd6,1,Warehouse6
0,6,1,DAD-CEN-07,node06,path,null,41,Area1,active,2,t?ng 7,d2e3b93b-29b4-40e3-a7c9-6397385b59fd7,1,Warehouse7
0,7,1,DAD-CEN-08,node07,path,null,41,Area1,active,2,t?ng 8,d2e3b93b-29b4-40e3-a7c9-6397385b59fd8,1,Warehouse8
0,8,1,DAD-CEN-09,node08,path,null,41,Area1,active,2,t?ng 9,d2e3b93b-29b4-40e3-a7c9-6397385b59fd9,1,Warehouse9
0,9,1,DAD-CEN-10,node09,path,null,41,Area1,active,2,t?ng 10,d2e3b93b-29b4-40e3-a7c9-6397385b59fd10,1,Warehouse10
0,10,1,DAD-CEN-11,node10,path,null,41,Area1,active,2,t?ng 11,d2e3b93b-29b4-40e3-a7c9-6397385b59fd11,1,Warehouse11
0,11,1,DAD-CEN-12,node11,path,null,41,Area1,active,2,t?ng 12,d2e3b93b-29b4-40e3-a7c9-6397385b59fd12,1,Warehouse12
