Status,Neutral,Warehouse,Guid,Code,Type,Area,SubNode,Name,Latitude,Longitude,Level,Node
active,0,5,26b3d11f-2736-41d4-b931-fd55844f856b,Q7-CEN-2371,path,CEN,[null],node2371,79,30,1,root
active,0,5,c940425d-256b-482f-8438-e2d35e14e5cf,Q7-CEN-2372,path,CEN,[null],node2372,79,29,1,root
active,-1,5,693887c6-f4f3-4d66-bc56-b7f14a7834ae,Q7-CEN-2373,bincar,CEN,[null],node2373,79,28,1,root
active,-1,5,90f7c751-b22b-4697-b4ae-c1ef5f1e3c39,Q7-CEN-2374,bincar,CEN,[null],node2374,79,27,1,root
active,-1,5,75119982-04ea-4dec-94a9-73a76fea9a35,Q7-CEN-2375,bincar,CEN,[null],node2375,79,26,1,root
active,-1,5,be9b3239-9a82-43ea-a7f1-82fded46a4b4,Q7-CEN-2376,bincar,CEN,[null],node2376,79,25,1,root
active,-1,5,3b771f83-9f36-490c-ba80-c9fbb51071ee,Q7-CEN-2377,bincar,CEN,[null],node2377,79,24,1,root
active,-1,5,e2947272-48e1-4d6d-b307-60ef3012d5c1,Q7-CEN-2378,bincar,CEN,[null],node2378,79,23,1,root
active,-1,5,e13dc8ac-23b9-4ae2-8293-476d4b6e1912,Q7-CEN-2379,bincar,CEN,[null],node2379,79,22,1,root
active,-1,5,417863f5-46e4-4fca-b643-585b2caa96b0,Q7-CEN-2380,bincar,CEN,[null],node2380,79,21,1,root
active,-1,5,f87a6d36-8ace-425f-9688-40e1f37fe8a7,Q7-CEN-2381,bincar,CEN,[null],node2381,79,20,1,root
active,-1,5,2718870c-a128-4729-b18d-f2b03a69b4bb,Q7-CEN-2382,bincar,CEN,[null],node2382,79,19,1,root
active,-1,5,8c641e42-ce6b-4065-bb6c-cdbd7122be52,Q7-CEN-2383,bincar,CEN,[null],node2383,79,18,1,root
active,-1,5,6b16b287-dad7-48d7-801d-adc20d57f532,Q7-CEN-2384,bincar,CEN,[null],node2384,79,17,1,root
active,-1,5,d97260ea-46b8-45f4-bd9b-a6369d0bbd99,Q7-CEN-2385,bincar,CEN,[null],node2385,79,16,1,root
active,-1,5,79987ff4-ca00-4137-b6ac-7f45ac38f610,Q7-CEN-2386,bincar,CEN,[null],node2386,79,15,1,root
active,-1,5,058e0fa1-2b34-485e-b05c-d006ad5b6686,Q7-CEN-2387,bincar,CEN,[null],node2387,79,14,1,root
active,-1,5,c21d5161-0407-4293-8308-f3e54b04526a,Q7-CEN-2388,bincar,CEN,[null],node2388,79,13,1,root
active,-1,5,032266d3-36ef-4bb2-ae53-7729d9eec62e,Q7-CEN-2389,bincar,CEN,[null],node2389,79,12,1,root
active,-1,5,dad240fa-ae9c-46fe-87da-c7fdd8229044,Q7-CEN-2390,bincar,CEN,[null],node2390,79,11,1,root
active,-1,5,fd34add8-d25a-4cea-a887-ddd2a04e6d25,Q7-CEN-2391,bincar,CEN,[null],node2391,79,10,1,root
active,-1,5,a52c3629-97a5-42c1-9363-27d4e72a5838,Q7-CEN-2392,bincar,CEN,[null],node2392,79,9,1,root
active,-1,5,ca144005-8512-4fde-a028-e31fa553f921,Q7-CEN-2393,bincar,CEN,[null],node2393,79,8,1,root
active,-1,5,68f9d90d-231e-4392-b1dc-61fb55d5eaa7,Q7-CEN-2394,bincar,CEN,[null],node2394,79,7,1,root
active,-1,5,4235ec34-4d0e-4fb7-aff7-165784474713,Q7-CEN-2395,bincar,CEN,[null],node2395,79,6,1,root
active,-1,5,0eebf7e5-a1f3-4aa7-ad87-f73cb04179a9,Q7-CEN-2396,bincar,CEN,[null],node2396,79,5,1,root
