Status,Neutral,Warehouse,Guid,Code,Type,Area,SubNode,Name,Latitude,Longitude,LevelId,LevelName,Node,RegionId,RegionName
active,1,04,1,Q7-CEN-01,path,CEN,[],node00,0,0,3,tang 3,root,1,warehouse1
active,1,04,2,Q7-CEN-02,path,CEN,[],node01,0,1,3,tang 3,root,1,warehouse1
active,1,04,3,Q7-CEN-03,path,CEN,[],node02,0,2,3,tang 3,root,1,warehouse1
active,1,04,4,Q7-CEN-04,path,CEN,[],node03,0,3,3,tang 3,root,1,warehouse1
active,1,04,5,Q7-CEN-05,path,CEN,[],node04,0,4,3,tang 3,root,1,warehouse1
active,1,04,6,Q7-CEN-06,path,CEN,[],node05,0,5,3,tang 3,root,1,warehouse1
active,1,04,7,Q7-CEN-07,path,CEN,[],node06,0,6,3,tang 3,root,1,warehouse1
active,1,04,8,Q7-CEN-08,path,CEN,[],node07,0,7,3,tang 3,root,1,warehouse1
active,1,04,9,Q7-CEN-09,path,CEN,[],node08,0,8,3,tang 3,root,1,warehouse1
active,1,04,10,Q7-CEN-10,path,CEN,[],node09,0,9,3,tang 3,root,1,warehouse1
active,1,04,11,Q7-CEN-11,path,CEN,[],node10,0,10,3,tang 3,root,1,warehouse1
active,1,04,12,Q7-CEN-12,path,CEN,[],node11,0,11,3,tang 3,root,1,warehouse1
active,1,04,13,Q7-CEN-13,path,CEN,[],node12,0,12,3,tang 3,root,1,warehouse1
active,1,04,14,Q7-CEN-14,path,CEN,[],node13,0,13,3,tang 3,root,1,warehouse1
active,1,04,15,Q7-CEN-15,path,CEN,[],node14,0,14,3,tang 3,root,1,warehouse1
active,1,04,16,Q7-CEN-16,path,CEN,[],node15,0,15,3,tang 3,root,1,warehouse1
active,1,04,17,Q7-CEN-17,path,CEN,[],node16,0,16,3,tang 3,root,1,warehouse1
active,1,04,18,Q7-CEN-18,path,CEN,[],node17,0,17,3,tang 3,root,1,warehouse1
active,1,04,19,Q7-CEN-19,path,CEN,[],node18,0,18,3,tang 3,root,1,warehouse1
active,1,04,20,Q7-CEN-20,path,CEN,[],node19,0,19,3,tang 3,root,1,warehouse1
active,1,04,21,Q7-CEN-21,path,CEN,[],node20,0,20,3,tang 3,root,1,warehouse1
active,1,04,22,Q7-CEN-22,path,CEN,[],node21,0,21,3,tang 3,root,1,warehouse1
active,1,04,23,Q7-CEN-23,path,CEN,[],node22,0,22,3,tang 3,root,1,warehouse1
active,1,04,24,Q7-CEN-24,path,CEN,[],node23,0,23,3,tang 3,root,1,warehouse1
active,1,04,25,Q7-CEN-25,path,CEN,[],node24,0,24,3,tang 3,root,1,warehouse1
active,1,04,26,Q7-CEN-26,path,CEN,[],node25,0,25,3,tang 3,root,1,warehouse1
active,1,04,27,Q7-CEN-27,path,CEN,[],node26,0,26,3,tang 3,root,1,warehouse1
active,1,04,28,Q7-CEN-28,path,CEN,[],node27,0,27,3,tang 3,root,1,warehouse1
active,1,04,29,Q7-CEN-29,path,CEN,[],node28,0,28,3,tang 3,root,1,warehouse1
active,1,04,30,Q7-CEN-30,path,CEN,[],node29,0,29,3,tang 3,root,1,warehouse1
active,1,04,31,Q7-CEN-31,path,CEN,[],node30,1,0,3,tang 3,root,1,warehouse1
active,1,04,32,Q7-CEN-32,path,CEN,[],node31,1,1,3,tang 3,root,1,warehouse1
active,1,04,33,Q7-CEN-33,path,CEN,[],node32,1,2,3,tang 3,root,1,warehouse1
active,1,04,34,Q7-CEN-34,path,CEN,[],node33,1,3,3,tang 3,root,1,warehouse1
active,1,04,35,Q7-CEN-35,path,CEN,[],node34,1,4,3,tang 3,root,1,warehouse1
active,1,04,36,Q7-CEN-36,path,CEN,[],node35,1,5,3,tang 3,root,1,warehouse1
active,1,04,37,Q7-CEN-37,path,CEN,[],node36,1,6,3,tang 3,root,1,warehouse1
active,1,04,38,Q7-CEN-38,path,CEN,[],node37,1,7,3,tang 3,root,1,warehouse1
active,1,04,39,Q7-CEN-39,path,CEN,[],node38,1,8,3,tang 3,root,1,warehouse1
active,1,04,40,Q7-CEN-40,path,CEN,[],node39,1,9,3,tang 3,root,1,warehouse1
active,1,04,41,Q7-CEN-41,path,CEN,[],node40,1,10,3,tang 3,root,1,warehouse1
active,1,04,42,Q7-CEN-42,path,CEN,[],node41,1,11,3,tang 3,root,1,warehouse1
active,1,04,43,Q7-CEN-43,path,CEN,[],node42,1,12,3,tang 3,root,1,warehouse1
active,1,04,44,Q7-CEN-44,path,CEN,[],node43,1,13,3,tang 3,root,1,warehouse1
active,1,04,45,Q7-CEN-45,path,CEN,[],node44,1,14,3,tang 3,root,1,warehouse1
active,1,04,46,Q7-CEN-46,path,CEN,[],node45,1,15,3,tang 3,root,1,warehouse1
active,1,04,47,Q7-CEN-47,path,CEN,[],node46,1,16,3,tang 3,root,1,warehouse1
active,1,04,48,Q7-CEN-48,path,CEN,[],node47,1,17,3,tang 3,root,1,warehouse1
active,1,04,49,Q7-CEN-49,path,CEN,[],node48,1,18,3,tang 3,root,1,warehouse1
active,1,04,50,Q7-CEN-50,path,CEN,[],node49,1,19,3,tang 3,root,1,warehouse1
active,1,04,51,Q7-CEN-51,path,CEN,[],node50,1,20,3,tang 3,root,1,warehouse1
active,1,04,52,Q7-CEN-52,path,CEN,[],node51,1,21,3,tang 3,root,1,warehouse1
active,1,04,53,Q7-CEN-53,path,CEN,[],node52,1,22,3,tang 3,root,1,warehouse1
active,1,04,54,Q7-CEN-54,path,CEN,[],node53,1,23,3,tang 3,root,1,warehouse1
active,1,04,55,Q7-CEN-55,path,CEN,[],node54,1,24,3,tang 3,root,1,warehouse1
active,1,04,56,Q7-CEN-56,path,CEN,[],node55,1,25,3,tang 3,root,1,warehouse1
active,1,04,57,Q7-CEN-57,path,CEN,[],node56,1,26,3,tang 3,root,1,warehouse1
active,1,04,58,Q7-CEN-58,path,CEN,[],node57,1,27,3,tang 3,root,1,warehouse1
active,1,04,59,Q7-CEN-59,path,CEN,[],node58,1,28,3,tang 3,root,1,warehouse1
active,1,04,60,Q7-CEN-60,path,CEN,[],node59,1,29,3,tang 3,root,1,warehouse1
active,1,04,61,Q7-CEN-61,path,CEN,[],node60,2,0,3,tang 3,root,1,warehouse1
active,1,04,62,Q7-CEN-62,path,CEN,[],node61,2,1,3,tang 3,root,1,warehouse1
active,1,04,63,Q7-CEN-63,path,CEN,[],node62,2,2,3,tang 3,root,1,warehouse1
active,1,04,64,Q7-CEN-64,path,CEN,[],node63,2,3,3,tang 3,root,1,warehouse1
active,1,04,65,Q7-CEN-65,path,CEN,[],node64,2,4,3,tang 3,root,1,warehouse1
active,1,04,66,Q7-CEN-66,path,CEN,[],node65,2,5,3,tang 3,root,1,warehouse1
active,1,04,67,Q7-CEN-67,path,CEN,[],node66,2,6,3,tang 3,root,1,warehouse1
active,1,04,68,Q7-CEN-68,path,CEN,[],node67,2,7,3,tang 3,root,1,warehouse1
active,1,04,69,Q7-CEN-69,path,CEN,[],node68,2,8,3,tang 3,root,1,warehouse1
active,1,04,70,Q7-CEN-70,path,CEN,[],node69,2,9,3,tang 3,root,1,warehouse1
active,1,04,71,Q7-CEN-71,path,CEN,[],node70,2,10,3,tang 3,root,1,warehouse1
active,1,04,72,Q7-CEN-72,path,CEN,[],node71,2,11,3,tang 3,root,1,warehouse1
active,1,04,73,Q7-CEN-73,path,CEN,[],node72,2,12,3,tang 3,root,1,warehouse1
active,1,04,74,Q7-CEN-74,path,CEN,[],node73,2,13,3,tang 3,root,1,warehouse1
active,1,04,75,Q7-CEN-75,path,CEN,[],node74,2,14,3,tang 3,root,1,warehouse1
active,1,04,76,Q7-CEN-76,path,CEN,[],node75,2,15,3,tang 3,root,1,warehouse1
active,1,04,77,Q7-CEN-77,path,CEN,[],node76,2,16,3,tang 3,root,1,warehouse1
active,1,04,78,Q7-CEN-78,path,CEN,[],node77,2,17,3,tang 3,root,1,warehouse1
active,1,04,79,Q7-CEN-79,path,CEN,[],node78,2,18,3,tang 3,root,1,warehouse1
active,1,04,80,Q7-CEN-80,path,CEN,[],node79,2,19,3,tang 3,root,1,warehouse1
active,1,04,81,Q7-CEN-81,path,CEN,[],node80,2,20,3,tang 3,root,1,warehouse1
active,1,04,82,Q7-CEN-82,path,CEN,[],node81,2,21,3,tang 3,root,1,warehouse1
active,1,04,83,Q7-CEN-83,path,CEN,[],node82,2,22,3,tang 3,root,1,warehouse1
active,1,04,84,Q7-CEN-84,path,CEN,[],node83,2,23,3,tang 3,root,1,warehouse1
active,1,04,85,Q7-CEN-85,path,CEN,[],node84,2,24,3,tang 3,root,1,warehouse1
active,1,04,86,Q7-CEN-86,path,CEN,[],node85,2,25,3,tang 3,root,1,warehouse1
active,1,04,87,Q7-CEN-87,path,CEN,[],node86,2,26,3,tang 3,root,1,warehouse1
active,1,04,88,Q7-CEN-88,path,CEN,[],node87,2,27,3,tang 3,root,1,warehouse1
active,1,04,89,Q7-CEN-89,path,CEN,[],node88,2,28,3,tang 3,root,1,warehouse1
active,1,04,90,Q7-CEN-90,path,CEN,[],node89,2,29,3,tang 3,root,1,warehouse1
active,1,04,91,Q7-CEN-91,path,CEN,[],node90,3,0,3,tang 3,root,1,warehouse1
active,1,04,92,Q7-CEN-92,path,CEN,[],node91,3,1,3,tang 3,root,1,warehouse1
active,1,04,93,Q7-CEN-93,path,CEN,[],node92,3,2,3,tang 3,root,1,warehouse1
active,1,04,94,Q7-CEN-94,path,CEN,[],node93,3,3,3,tang 3,root,1,warehouse1
active,1,04,95,Q7-CEN-95,path,CEN,[],node94,3,4,3,tang 3,root,1,warehouse1
active,1,04,96,Q7-CEN-96,path,CEN,[],node95,3,5,3,tang 3,root,1,warehouse1
active,1,04,97,Q7-CEN-97,path,CEN,[],node96,3,6,3,tang 3,root,1,warehouse1
active,1,04,98,Q7-CEN-98,path,CEN,[],node97,3,7,3,tang 3,root,1,warehouse1
active,1,04,99,Q7-CEN-99,path,CEN,[],node98,3,8,3,tang 3,root,1,warehouse1
active,1,04,100,Q7-CEN-100,path,CEN,[],node99,3,9,3,tang 3,root,1,warehouse1
active,1,04,101,Q7-CEN-101,path,CEN,[],node100,3,10,3,tang 3,root,1,warehouse1
active,1,04,102,Q7-CEN-102,path,CEN,[],node101,3,11,3,tang 3,root,1,warehouse1
active,1,04,103,Q7-CEN-103,path,CEN,[],node102,3,12,3,tang 3,root,1,warehouse1
active,1,04,104,Q7-CEN-104,path,CEN,[],node103,3,13,3,tang 3,root,1,warehouse1
active,1,04,105,Q7-CEN-105,path,CEN,[],node104,3,14,3,tang 3,root,1,warehouse1
active,1,04,106,Q7-CEN-106,path,CEN,[],node105,3,15,3,tang 3,root,1,warehouse1
active,1,04,107,Q7-CEN-107,path,CEN,[],node106,3,16,3,tang 3,root,1,warehouse1
active,1,04,108,Q7-CEN-108,path,CEN,[],node107,3,17,3,tang 3,root,1,warehouse1
active,1,04,109,Q7-CEN-109,path,CEN,[],node108,3,18,3,tang 3,root,1,warehouse1
active,1,04,110,Q7-CEN-110,path,CEN,[],node109,3,19,3,tang 3,root,1,warehouse1
active,1,04,111,Q7-CEN-111,path,CEN,[],node110,3,20,3,tang 3,root,1,warehouse1
active,1,04,112,Q7-CEN-112,path,CEN,[],node111,3,21,3,tang 3,root,1,warehouse1
active,1,04,113,Q7-CEN-113,path,CEN,[],node112,3,22,3,tang 3,root,1,warehouse1
active,1,04,114,Q7-CEN-114,path,CEN,[],node113,3,23,3,tang 3,root,1,warehouse1
active,1,04,115,Q7-CEN-115,path,CEN,[],node114,3,24,3,tang 3,root,1,warehouse1
active,1,04,116,Q7-CEN-116,path,CEN,[],node115,3,25,3,tang 3,root,1,warehouse1
active,1,04,117,Q7-CEN-117,path,CEN,[],node116,3,26,3,tang 3,root,1,warehouse1
active,1,04,118,Q7-CEN-118,path,CEN,[],node117,3,27,3,tang 3,root,1,warehouse1
active,1,04,119,Q7-CEN-119,path,CEN,[],node118,3,28,3,tang 3,root,1,warehouse1
active,1,04,120,Q7-CEN-120,path,CEN,[],node119,3,29,3,tang 3,root,1,warehouse1
active,1,04,121,Q7-CEN-121,path,CEN,[],node120,4,0,3,tang 3,root,1,warehouse1
active,1,04,122,Q7-CEN-122,path,CEN,[],node121,4,1,3,tang 3,root,1,warehouse1
active,1,04,123,Q7-CEN-123,path,CEN,[],node122,4,2,3,tang 3,root,1,warehouse1
active,1,04,124,Q7-CEN-124,path,CEN,[],node123,4,3,3,tang 3,root,1,warehouse1
active,1,04,125,Q7-CEN-125,path,CEN,[],node124,4,4,3,tang 3,root,1,warehouse1
active,1,04,126,Q7-CEN-126,path,CEN,[],node125,4,5,3,tang 3,root,1,warehouse1
active,1,04,127,Q7-CEN-127,path,CEN,[],node126,4,6,3,tang 3,root,1,warehouse1
active,1,04,128,Q7-CEN-128,path,CEN,[],node127,4,7,3,tang 3,root,1,warehouse1
active,1,04,129,Q7-CEN-129,path,CEN,[],node128,4,8,3,tang 3,root,1,warehouse1
active,1,04,130,Q7-CEN-130,path,CEN,[],node129,4,9,3,tang 3,root,1,warehouse1
