"Latitude","Longitude","Neutral","Code","name","Type","SubNode__-","Warehouse","Area","Status","Level","Guid","X","Y"
"36","85","1","BRYA-WS2-3182","node3181","bindummyfm","null","brya","bd","active","1","3181","null","null"
"36","84","1","BRYA-WS2-3145","node3144","binfm","null","brya","bd","active","1","3144","null","null"
"36","83","1","BRYA-WS2-3108","node3107","bindummyfm","null","brya","bd","active","1","3107","null","null"
"36","82","1","BRYA-WS2-3071","node3070","bindummyfm","null","brya","bd","active","1","3070","null","null"
"36","81","1","BRYA-WS2-3034","node3033","binfm","null","brya","bd","active","1","3033","null","null"
"36","80","1","BRYA-WS2-2997","node2996","bindummyfm","null","brya","bd","active","1","2996","null","null"
"36","79","1","BRYA-WS2-2960","node2959","bindummyfm","null","brya","bd","active","1","2959","null","null"
"36","78","1","BRYA-WS2-2923","node2922","binfm","null","brya","bd","active","1","2922","null","null"
"36","77","1","BRYA-WS2-2886","node2885","bindummyfm","null","brya","bd","active","1","2885","null","null"
"36","76","1","BRYA-WS2-2849","node2848","bindummyfm","null","brya","bd","active","1","2848","null","null"
"36","75","1","BRYA-WS2-2812","node2811","binfm","null","brya","bd","active","1","2811","null","null"
"36","74","1","BRYA-WS2-2775","node2774","bindummyfm","null","brya","bd","active","1","2774","null","null"
"36","73","1","BRYA-WS2-2738","node2737","bindummyfm","null","brya","bd","active","1","2737","null","null"
"36","72","1","BRYA-WS2-2701","node2700","binfm","null","brya","bd","active","1","2700","null","null"
"36","71","1","BRYA-WS2-2664","node2663","bindummyfm","null","brya","bd","active","1","2663","null","null"
"36","70","1","BRYA-WS2-2627","node2626","bindummyfm","null","brya","bd","active","1","2626","null","null"
"36","69","1","BRYA-WS2-2590","node2589","binfm","null","brya","bd","active","1","2589","null","null"
"36","68","1","BRYA-WS2-2553","node2552","bindummyfm","null","brya","bd","active","1","2552","null","null"
"36","67","1","BRYA-WS2-2516","node2515","bindummyfm","null","brya","bd","active","1","2515","null","null"
"36","66","1","BRYA-WS2-2479","node2478","binfm","null","brya","bd","active","1","2478","null","null"
"36","65","1","BRYA-WS2-2442","node2441","bindummyfm","null","brya","bd","active","1","2441","null","null"
"36","64","1","BRYA-WS2-2405","node2404","bindummyfm","null","brya","bd","active","1","2404","null","null"
"36","63","1","BRYA-WS2-2368","node2367","binfm","null","brya","bd","active","1","2367","null","null"
"36","62","1","BRYA-WS2-2331","node2330","bindummyfm","null","brya","bd","active","1","2330","null","null"
"36","61","1","BRYA-WS2-2294","node2293","bindummyfm","null","brya","bd","active","1","2293","null","null"
"36","60","1","BRYA-WS2-2257","node2256","binfm","null","brya","bd","active","1","2256","null","null"
"36","59","1","BRYA-WS2-2220","node2219","bindummyfm","null","brya","bd","active","1","2219","null","null"
"36","58","1","BRYA-WS2-2183","node2182","bindummyfm","null","brya","bd","active","1","2182","null","null"
"36","57","1","BRYA-WS2-2146","node2145","binfm","null","brya","bd","active","1","2145","null","null"
"36","56","1","BRYA-WS2-2109","node2108","bindummyfm","null","brya","bd","active","1","2108","null","null"
"36","55","1","BRYA-WS2-2072","node2071","bindummyfm","null","brya","bd","active","1","2071","null","null"
"36","54","1","BRYA-WS2-2035","node2034","binfm","null","brya","bd","active","1","2034","null","null"
"36","53","1","BRYA-WS2-1998","node1997","bindummyfm","null","brya","bd","active","1","1997","null","null"
"36","52","1","BRYA-WS2-1961","node1960","bindummyfm","null","brya","bd","active","1","1960","null","null"
"36","51","1","BRYA-WS2-1924","node1923","binfm","null","brya","bd","active","1","1923","null","null"
"36","50","1","BRYA-WS2-1887","node1886","bindummyfm","null","brya","bd","active","1","1886","null","null"
"36","49","1","BRYA-WS2-1850","node1849","bindummyfm","null","brya","bd","active","1","1849","null","null"
"36","48","1","BRYA-WS2-1813","node1812","binfm","null","brya","bd","active","1","1812","null","null"
"36","47","1","BRYA-WS2-1776","node1775","bindummyfm","null","brya","bd","active","1","1775","null","null"
"36","46","1","BRYA-WS2-1739","node1738","path","null","brya","bd","active","1","1738","null","null"
"36","45","1","BRYA-WS2-1702","node1701","path","null","brya","bd","active","1","1701","null","null"
"36","44","1","BRYA-WS2-1665","node1664","bindummyfm","null","brya","bd","active","1","1664","null","null"
"36","43","1","BRYA-WS2-1628","node1627","binfm","null","brya","bd","active","1","1627","null","null"
"36","42","1","BRYA-WS2-1591","node1590","bindummyfm","null","brya","bd","active","1","1590","null","null"
"36","41","1","BRYA-WS2-1554","node1553","bindummyfm","null","brya","bd","active","1","1553","null","null"
"36","40","1","BRYA-WS2-1517","node1516","binfm","null","brya","bd","active","1","1516","null","null"
"36","39","1","BRYA-WS2-1480","node1479","bindummyfm","null","brya","bd","active","1","1479","null","null"
"36","38","1","BRYA-WS2-1443","node1442","bindummyfm","null","brya","bd","active","1","1442","null","null"
