Status,Neutral,Warehouse,Guid,Code,Type,Area,SubNode,name,Latitude,Longitude,Level
active,1,2,ee473967-c295-4897-a6df-e356ae3919d5,bd-roomI-01,path,roomI,null,node00,0,0,2
active,1,2,e08219db-9c3a-40ba-91d9-33c1c372d7a3,bd-roomI-02,bin,roomI,null,node01,1,0,2
active,1,2,9e65e502-73d4-4805-bf72-30a08e819a3d,bd-roomI-03,bin,roomI,null,node02,2,0,2
active,1,2,6850e431-3240-4cc5-b66d-9c319cd054b8,bd-roomI-04,bin,roomI,null,node03,3,0,2
active,1,2,a529c796-8282-48e6-8d14-0cabc726a339,bd-roomI-05,bin,roomI,null,node04,4,0,2
active,1,2,d35d53bb-2a2f-467d-8239-962ed27864f5,bd-roomI-06,bin,roomI,null,node05,5,0,2
active,1,2,e5eb5bbc-0e04-4f19-85a3-35cedd05d162,bd-roomI-07,bin,roomI,null,node06,6,0,2
active,1,2,46685364-a7ca-4411-a0b6-9541dc6e9ef0,bd-roomI-08,bin,roomI,null,node07,7,0,2
active,1,2,fd1e2579-756c-4d29-a638-8f3736c0cd18,bd-roomI-09,bin,roomI,null,node08,8,0,2
active,1,2,788b1dc9-1e42-4c5d-92b8-037cc8340c4a,bd-roomI-10,bin,roomI,null,node09,9,0,2
active,1,2,44d4b2cf-c90e-4faa-9acd-75c522814cbe,bd-roomI-11,bin,roomI,null,node10,10,0,2
active,1,2,d7011eec-305f-482b-9b21-17cda3febe47,bd-roomI-12,bin,roomI,null,node11,11,0,2
active,1,2,cd8f7702-2122-4eb1-8154-294b1a7cc0e0,bd-roomI-13,bin,roomI,null,node12,12,0,2
active,1,2,0ff68360-356c-4e0f-bca9-17683d825066,bd-roomI-14,bin,roomI,null,node13,13,0,2
active,1,2,25386fe3-b986-4b8f-a8ff-29c7ab150e89,bd-roomI-15,bin,roomI,null,node14,14,0,2
active,1,2,413f46a4-928b-439f-83bf-a07d39a72bcc,bd-roomI-16,bin,roomI,null,node15,15,0,2
