Latitude,Longitude,Neutral,Code,Name,Type,SubNode/0,SubNode/1,SubNode/2,Warehouse,Area,Status,Level,Guid,X,Y,SubNode/3,SubNode/4,SubNode/5,SubNode/6,SubNode/7,SubNode/8,SubNode/9,SubNode/10,SubNode/11,SubNode/12,SubNode/13,SubNode/14,SubNode/15,SubNode/16,SubNode/17,SubNode/18,SubNode/19,SubNode/20,SubNode/21,SubNode/22,SubNode/23,SubNode/24,SubNode/25,SubNode/26,SubNode/27,SubNode/28,SubNode/29,SubNode/30
79,30,0,Q7-CEN-2371,node2371,path,null,null,null,Q7,CEN,normal,1,26b3d11f-2736-41d4-b931-fd55844f856b,79,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,29,0,Q7-CEN-2372,node2372,path,null,null,null,Q7,CEN,normal,1,c940425d-256b-482f-8438-e2d35e14e5cf,79,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,28,-1,Q7-CEN-2373,node2373,bincar,59 A 1,59 B 1,59 C 1,Q7,CEN,normal,1,693887c6-f4f3-4d66-bc56-b7f14a7834ae,79,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,27,-1,Q7-CEN-2374,node2374,bincar,59 A 3,59 B 3,59 C 3,Q7,CEN,normal,1,90f7c751-b22b-4697-b4ae-c1ef5f1e3c39,79,27,I I A 202,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,26,-1,Q7-CEN-2375,node2375,bincar,59 A 5,59 B 5,59 C 5,Q7,CEN,normal,1,75119982-04ea-4dec-94a9-73a76fea9a35,79,26,I I A 200,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,25,-1,Q7-CEN-2376,node2376,bincar,59 A 7,59 B 7,59 C 7,Q7,CEN,normal,1,be9b3239-9a82-43ea-a7f1-82fded46a4b4,79,25,I I A 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,24,-1,Q7-CEN-2377,node2377,bincar,59 A 9,59 B 9,59 C 9,Q7,CEN,normal,1,3b771f83-9f36-490c-ba80-c9fbb51071ee,79,24,I I A 24,I I A 25,I I A 26,I I A 27,I I A 28,I I A 29,I I A 30,I I A 31,I I A 32,I I A 33,I I A 34,I I A 35,I I A 36,I I A 37,I I A 38,I I A 39,I I A 40,I I A 41,I I A 42,I I A 43,I I A 44,I I A 45,I I A 46,I I A 47,I I A 48,I I A 49,I I A 50,I I A 51
79,23,-1,Q7-CEN-2378,node2378,bincar,59 A 11,59 B 11,59 C 11,Q7,CEN,normal,1,e2947272-48e1-4d6d-b307-60ef3012d5c1,79,23,I I A 23,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,22,-1,Q7-CEN-2379,node2379,bincar,59 A 13,59 B 13,59 C 13,Q7,CEN,normal,1,e13dc8ac-23b9-4ae2-8293-476d4b6e1912,79,22,I I A 22,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,21,-1,Q7-CEN-2380,node2380,bincar,59 A 15,59 B 15,59 C 15,Q7,CEN,normal,1,417863f5-46e4-4fca-b643-585b2caa96b0,79,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20,-1,Q7-CEN-2381,node2381,bincar,59 A 17,59 B 17,59 C 17,Q7,CEN,normal,1,f87a6d36-8ace-425f-9688-40e1f37fe8a7,79,20,I I A 20,,,,,,,,,,,,,,,,,,,,,,,,,,,
